id,name,contact,product_provided
1,Brekke Group,829-801-6883,butter
2,Orn and Sons,709-158-3607,vanilla
3,"Kuhn, Wolf and Schoen",353-676-8551,flour
4,Jones Group,704-923-4768,tea
5,Lockman-VonRueden,499-920-0786,eggs
6,Huels-Swaniawski,748-134-9764,eggs
7,Orn-Beahan,657-810-9688,milk
8,"Yost, Ullrich and Ruecker",970-452-6172,fruit
9,"Grant, Stehr and O'Kon",903-924-5646,butter
10,"Doyle, Reynolds and Kshlerin",205-575-1392,nuts
11,Morissette-Paucek,473-707-4019,vanilla
12,"Labadie, Harvey and Emmerich",789-816-6400,eggs
13,Bartell-Collier,341-202-1586,nuts
14,Crist Group,200-844-8197,chocolate
15,Huel-Ebert,400-618-9976,utensils
16,Huel Inc,779-966-0593,cinnamon
17,"Bashirian, Kutch and Muller",493-604-9443,chocolate
18,Gorczany and Sons,806-637-1339,butter
19,"Sipes, Quitzon and Veum",998-835-4825,cups
20,"Bergnaum, Littel and Morar",689-765-9316,tea
21,"Barton, Corkery and Pacocha",731-235-9964,utensils
22,Hintz and Sons,701-145-3629,cleaning supplies
23,"O'Connell, Harber and Ernser",630-948-8494,eggs
24,White Group,743-681-1994,decor
25,Collier-Parker,923-393-2996,milk
26,"Ward, Murazik and Swift",893-672-1464,utensils
27,Will LLC,539-628-9753,butter
28,Borer-Ryan,173-648-9546,coffee beans
29,Glover-Roob,354-260-0111,flour
30,Ziemann Group,989-498-1546,flour
